Susan; Fri Mar 28 14:33:02 GMT 2014; 51.3987 N  0.0180 E; Bromley South railway station; OPENED; 30; BLUE; 19; 50
Susan; Fri Mar 28 14:36:07 GMT 2014; 51.3999 N  0.0193 E; Bromley South railway station; BROMLEY; 77; CYAN; 2; 50
Susan; Fri Mar 28 15:33:02 GMT 2014; 51.3987 N  0.0200 E; Bromley South railway station; MALL; 70; RED; 1; 50
Susan; Sat Mar 29 12:53:44 GMT 2014; 51.4111 N  0.0515 E; Bullers Wood School; ERECTED; 30; BLACK; 24; 50
Susan; Sat Mar 29 12:53:44 GMT 2014; 51.4111 N  0.0515 E; Bullers Wood School; CAMDEN; 33; GREEN; 16; 50
Susan; Sat Mar 29 12:53:44 GMT 2014; 51.4111 N  0.0515 E; Bullers Wood School; AGAINST; 46; MAGENTA; 3; 50
Susan; Sat Mar 29 12:53:44 GMT 2014; 51.4111 N  0.0515 E; Bullers Wood School; CHOROGRAPHICAL; 33; CYAN; 21; 50
Susan; Sat Mar 29 12:53:44 GMT 2014; 51.4111 N  0.0515 E; Bullers Wood School; TOPOGRAPHER; 33; RED; 21; 50
Susan; Sat Mar 29 17:13:08 GMT 2014; 51.4106 N  0.0521 E; Bullers Wood School; STATION; 78; CYAN; 1; 50
Susan; Sat Mar 29 17:14:06 GMT 2014; 51.4115 N  0.0516 E; Bullers Wood School; MAVELSTONE; 45; BLACK; 8; 50
Susan; Sat Mar 29 17:14:06 GMT 2014; 51.4115 N  0.0516 E; Bullers Wood School; UNADOPTED; 36; GREEN; 10; 50
Susan; Sat Mar 29 17:14:06 GMT 2014; 51.4115 N  0.0516 E; Bullers Wood School; ROAD; 76; GREEN; 2; 50
Susan; Sat Mar 29 17:14:06 GMT 2014; 51.4115 N  0.0516 E; Bullers Wood School; CLASS; 37; BLUE; 16; 50
Susan; Thu Apr 03 10:27:59 GMT+01:00 2014; 51.4115 N  0.0307 W; Beckenham Junction station; CHURCH; 110; RED; 1; 50
Susan; Thu Apr 03 10:27:59 GMT+01:00 2014; 51.4115 N  0.0307 W; Beckenham Junction station; PX; 43; RED; 12; 50
Susan; Thu Apr 03 10:27:59 GMT+01:00 2014; 51.4115 N  0.0307 W; Beckenham Junction station; PX; 118; BLUE; 1; 50
Susan; Thu Apr 03 10:27:59 GMT+01:00 2014; 51.4115 N  0.0307 W; Beckenham Junction station; NONE; 66; RED; 4; 50
Susan; Thu Apr 03 10:27:59 GMT+01:00 2014; 51.4115 N  0.0307 W; Beckenham Junction station; BORDER; 95; CYAN; 2; 50
Susan; Thu Apr 03 10:27:59 GMT+01:00 2014; 51.4115 N  0.0307 W; Beckenham Junction station; ROWSPAN; 39; GREEN; 12; 50
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; BRIXTON; 52; RED; 4; 50
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; BRIXTON; 52; CYAN; 4; 50
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; ACADEMY; 68; MAGENTA; 3; 50
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; GLAM; 26; MAGENTA; 33; 50
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; NUMAN; 30; MAGENTA; 21; 50
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; FIRST; 36; BLACK; 12; 50
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; BRIXTON; 62; MAGENTA; 4; 50
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; BRIXTON; 62; GREEN; 4; 50
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; UP; 36; MAGENTA; 19; 50
Susan; Thu Apr 03 10:42:01 GMT+01:00 2014; 51.4631 N  0.1147 W; Brixton tube station; BRIXTON; 53; MAGENTA; 4; 50
Susan; Thu Apr 03 10:51:16 GMT+01:00 2014; 51.4962 N  0.1438 W; Victoria Palace Theatre; VICTORIA; 102; MAGENTA; 1; 50
Susan; Thu Apr 03 10:51:16 GMT+01:00 2014; 51.4962 N  0.1438 W; Victoria Palace Theatre; BEN; 81; BLUE; 2; 50
Susan; Thu Apr 03 10:51:16 GMT+01:00 2014; 51.4962 N  0.1438 W; Victoria Palace Theatre; BEN; 81; RED; 2; 50
